interaction_step,env_step,eval/avg_return,eval/avg_length,eval/avg_success,train/actor_srank,train/critic_srank,train/actor_DR0.1,train/actor_DR0.2,train/actor_fnorm,train/actor_wnorm,train/critic_DR0.1,train/critic_DR0.2,train/critic_fnorm,train/critic_wnorm,train/actor_loss_var,train/entropy,train/churn,train/actor_action,train/actor_gnorm,train/actor_grad_cosine,train/actor_loss,train/actor_pnorm,train/critic_gnorm,train/critic_loss,train/critic_pnorm,train/policy_churn,train/q1_mean,train/q2_mean,train/rew_mean,train/td_error_var,train/temperature,train/temperature_gnorm,train/temperature_loss
0.0,0,-52.812556454897525,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3000,,,,118.0,222.0,0.0,0.0,11.313707,41.58601,0.0,0.0,22.627415,109.2171,,,,,,,,,,,,,,,,,,,
,6000,,,,110.0,222.0,0.0,0.0,11.230989,42.324265,0.0,0.0,23.747509,110.07671,141.05429077148438,-35.78194406420243,0.029525473713874817,0.703522956752396,1.6670452018717785,0.0055566670689808015,-23.804912356001424,41.976718349247186,71.34141469735366,4.9681161621739935,109.7864924595668,0.02952547218635693,17.258671762150424,17.258671762150424,-2.906602186041993,4.7938908218682466,0.012094102213931429,0.18747104113394922,-0.18746805336451033
